Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,,,1155.890717,850.3045786,1173.238105,1279.113778,1272.803204,1062.543412,1141.080432,1329.058546,1322.590638,1372.374174,1408.86538,2097.02283,2844.863312,2027.337202,1948.224686,2129.708361,2146.364959,2520.920716,2758.834817,2776.322088,2927.897357,3553.377509,2659.708242,2926.126485,3613.621709,3562.876059,3985.192469,2383.867471,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,8441.919439
Bahamas,1550.267699,1651.317673,1752.840006,1867.010351,1994.440497,2144.739089,2322.705816,2556.634267,2804.333876,3215.153897,3178.86332,3297.411067,3322.219911,3696.03182,3416.439318,3156.250827,3328.615937,3617.45307,4131.386427,5533.251938,6340.787031,6624.992453,7168.160885,7698.083032,8877.705915,9893.042003,10344.32265,11156.55725,11387.70908,12163.43977,12356.231,11919.83357,11686.73974,11406.85813,11814.43471,12238.60461,12708.64145,22036.10068,23514.17756,26130.01296,27098.15632,27486.23677,28867.0825,28327.81367,28396.01371,30279.39221,30713.79806,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28784.02449,29980.70826,31295.56387,31563.30787,32719.66659,33767.94119,34863.38405,28607.90138
Belice,304.9038598,316.4136295,327.0999965,336.9381023,351.1611263,377.590747,406.0942533,420.3759336,386.9399013,396.6277006,435.6833377,474.4366126,519.5553353,605.9334407,786.0810652,885.9579357,717.061406,858.8218118,980.7519338,1074.294773,1373.216845,1328.774121,1202.793176,1232.853202,1337.03762,1289.390744,1366.041674,1612.331335,1788.00132,2011.946797,2197.161593,2326.724165,2668.531425,2834.688335,2882.152016,2997.760459,3003.182652,2954.227237,2993.033651,3066.095151,3364.49179,3404.420498,3526.081595,3650.606527,3802.263075,3885.034003,4155.323804,4252.395386,4404.308194,4186.519984,4270.780031,4423.496842,4505.600593,4568.641228,4718.436581,4770.232656,4856.973249,4945.857699,5001.422157,5078.809944,4435.621154
Bolivia,102.2377224,109.061304,116.9249682,123.4293413,136.312362,149.6403332,162.3260545,179.5830384,199.6295674,211.7970162,226.8069714,239.1274987,268.5840154,263.8927461,429.2975596,480.8036551,534.2732859,617.3068292,703.1354273,809.4121785,811.2852993,1030.833054,960.9837782,913.9748507,1019.057257,870.1856484,627.3986288,671.0758547,698.6920028,701.6659386,709.0599824,762.0777071,788.15232,784.1909887,801.0461369,880.9926864,950.8563862,998.5159532,1049.499374,1003.392231,997.5817489,948.8702113,904.2257999,907.5374158,967.4064586,1034.3118,1218.87407,1372.628368,1715.208393,1754.209464,1955.460181,2346.337844,2609.880562,2908.200371,3081.878824,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,3143.045494
Brasil,210.1098732,205.0407821,260.4256497,292.2521734,261.6666163,261.3543451,315.797214,347.4930522,374.7867754,403.8842978,445.0231006,504.7494747,586.2143756,775.2733003,1004.104958,1153.830915,1390.624912,1567.006182,1744.257054,1908.48761,1947.276382,2132.883317,2226.76712,1570.539796,1578.926405,1648.082068,1941.491067,2087.307546,2300.376812,2908.496138,3100.280427,3975.390194,2596.919842,2791.208982,3500.611468,4748.215734,5166.163933,5282.008638,5087.152131,3478.37275,3749.753271,3156.798771,2829.283145,3070.910524,3637.462429,4790.436959,5886.463682,7348.030716,8831.023117,8597.915485,11286.2429,13245.61203,12370.02445,12300.32482,12112.58767,8814.001418,8710.096774,9928.643063,9151.445253,8897.48777,6796.844542
Barbados,,,,,,,,,,,,,,,1274.548372,1633.823012,1760.660094,1988.895188,2209.767015,2667.079584,4010.81119,4398.824866,4580.97053,4851.099555,5271.729836,5500.414114,6019.653244,6605.779219,6999.876116,7717.177449,7711.295456,7714.742746,7444.178173,7819.570003,8121.561919,8335.899293,8851.046458,9315.967566,10459.44247,10914.28224,11268.42006,11209.42112,11361.51677,11699.37047,12512.57797,13822.74175,15199.56753,16770.66103,17092.58214,15885.41018,16056.37098,16458.35321,16249.67395,16451.27931,16489.07224,16524.8995,16900.04829,17391.66891,17745.25537,18148.49785,15191.16404
Chile,505.3493255,555.1344026,638.94536,655.2522487,678.1281064,670.3956858,772.7257162,753.1279579,756.9120009,870.3198385,932.8615692,1094.682253,1173.218389,1640.0297,1554.387803,719.5991575,961.424604,1278.32816,1441.942086,1937.266572,2542.763806,2979.607879,2156.513066,1709.442069,1624.631968,1444.280138,1517.861345,1760.306398,2026.837914,2288.554941,2494.526796,2803.562714,3350.214089,3535.17436,4024.215228,5107.277513,5349.805227,5745.371076,5446.579522,4957.777557,5074.902616,4574.594716,4446.249371,4772.563723,6194.85272,7598.528877,9464.548507,10502.35071,10751.4816,10208.90797,12808.03834,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144,13231.70421
Colombia,251.0415229,274.0522642,289.9179458,274.3149575,328.6550321,307.64686,281.5660485,293.6442641,292.2574962,307.9952102,335.1182036,355.4075174,385.1125208,448.0338172,525.5257298,544.2909066,623.4289691,773.7458155,904.0106935,1061.848345,1241.639587,1323.376573,1386.672969,1348.804623,1304.177177,1165.042414,1142.939363,1165.982397,1232.226154,1218.21101,1445.32863,1456.694357,1697.112936,1893.542212,2284.838813,2539.912877,2620.538762,2827.379527,2566.024194,2209.93165,2520.481089,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492,5332.773524
Costa Rica,381.3636818,355.0027488,334.3092487,344.3546568,352.3368849,372.2805781,393.4806843,412.2351064,442.7796087,474.7953039,533.0915649,568.0964468,636.9050523,767.3271288,816.0368625,936.3368228,1122.807632,1393.000516,1555.540411,1734.61797,2021.548779,1068.502425,1032.997004,1213.55646,1373.939261,1432.081248,1572.455025,1571.29231,1558.505869,1727.870961,1831.000151,2247.373379,2605.805225,2841.64278,3031.888771,3265.693381,3215.105688,3391.977736,3597.43451,3668.80207,3789.053888,3960.307703,4042.705686,4147.824369,4404.711884,4676.379366,5227.465952,6103.741917,6901.388306,6801.036735,8227.127494,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12468.57529,12669.70608,12076.81451
Dominica,,,,,,,,,,,,,,,,,,624.6061219,769.1197571,733.9615647,966.6301991,1090.200907,1193.510061,1324.649475,1478.171746,1632.247367,1863.506067,2113.927152,2402.771781,2617.816846,2860.322479,3122.653182,3317.824671,3466.998869,3721.272367,3860.800538,4120.581185,4292.11368,4593.863345,4751.092101,4787.801441,4883.003024,4770.851894,4897.308367,5216.872434,5160.889141,5518.4232,5951.863413,6468.944767,6903.145806,6967.364955,7065.460372,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7274.517731,7693.771453,8001.997095,6526.793215
